caption,object1,relation,object2
An orange kite is flying to the right of a silver clock.,orange kite,right,silver clock
A striped umbrella is positioned at the top-left of a wooden bench.,striped umbrella,upper-left,wooden bench
The glowing yellow star can be seen on the lower right of a dark cloud.,yellow star,lower-right,dark cloud
A tiny bird is perched just to the left of a tall tree.,tiny bird,left,tall tree
A metallic robot head lies diagonally to the bottom-left of a red book.,metallic robot head,lower-left,red book
A large grey elephant is standing on the lower right of a green bush.,large grey elephant,lower-right,green bush
A yellow duck swims just to the left of a brown log.,yellow duck,left,brown log
A golden crown is set diagonally at the top-right of a wooden chest.,golden crown,upper-right,wooden chest
A small snail creeps along the bottom-left side of a mushroom.,small snail,lower-left,mushroom
A red balloon drifts diagonally to the top-left of a small cloud.,red balloon,upper-left,small cloud
The silver spoon is placed at the right of a ceramic bowl.,silver spoon,right,ceramic bowl
A glowing neon sign is visible below a dark street lamp.,glowing neon sign,below,dark street lamp
The green frog jumps just to the left of a yellow flower.,green frog,left,yellow flower
The white lighthouse rises at the upper left of a rocky shore.,white lighthouse,upper-left,rocky shore
A brown violin leans to the right of a black piano.,brown violin,right,black piano
The glowing moon is directly above a calm lake.,glowing moon,above,calm lake
A red apple rolls diagonally to the bottom-right of a pear.,red apple,lower-right,pear
The green cactus stands just to the left of a clay pot.,green cactus,left,clay pot
A black raven is flying at the top-right of a ruined tower.,black raven,upper-right,ruined tower
A green parrot is perched at the top-left of a palm tree.,green parrot,upper-left,palm tree
The glowing torch is raised above a stone statue.,glowing torch,above,stone statue
A small mouse runs diagonally to the lower right of a loaf of bread.,small mouse,lower-right,loaf of bread
The purple grape cluster is placed just above an orange.,purple grape cluster,above,orange
A yellow taxi stops to the left of a bus.,yellow taxi,left,bus
The white swan swims on the right side of a brown duck.,white swan,right,brown duck
A bronze key lies diagonally to the top-left of a leather book.,bronze key,upper-left,leather book
A red rocket shoots upward from the lower right of a launch pad.,red rocket,upper-right,launch pad
The green kite drifts at the top-right of a house.,green kite,upper-right,house
A tiny bee hovers just above a sunflower.,tiny bee,above,sunflower
The blue backpack sits below a wooden bench.,blue backpack,below,wooden bench
A golden sword is displayed to the left of a shield.,golden sword,left,shield
The glowing candle stands at the bottom-left of a mirror.,glowing candle,lower-left,mirror
A white rabbit is hopping to the right of a brown basket.,white rabbit,right,brown basket
A striped lighthouse is positioned at the upper left of the coast.,striped lighthouse,upper-left,coast
The orange basketball bounces above a hoop.,orange basketball,above,hoop
The black crow perches diagonally to the top-right of a lantern.,black crow,upper-right,lantern
A green leaf falls just below a red branch.,green leaf,below,red branch
A wooden box lies to the left of a silver coin pile.,wooden box,left,silver coin pile
The small puppy is playing on the lower left of a sofa.,small puppy,lower-left,sofa
A golden violin rests at the right of a cello.,golden violin,right,cello
The glowing sun rises at the top of a mountain.,glowing sun,above,mountain
A red rose grows at the bottom-right of a fence.,red rose,lower-right,fence
The white sheep grazes diagonally to the lower left of a tree.,white sheep,lower-left,tree
A brown owl is sitting at the upper left of a window.,brown owl,upper-left,window
A silver ring sparkles above a diamond.,silver ring,above,diamond
The striped zebra appears to the right of a lion.,striped zebra,right,lion
A glowing lantern is hung diagonally at the bottom-left of a stone wall.,glowing lantern,lower-left,stone wall
A red flag waves just above a tent.,red flag,above,tent
The green lizard crawls at the left side of a rock.,green lizard,left,rock
A blue umbrella is opened on the lower right of a bench.,blue umbrella,lower-right,bench
The golden chalice stands at the top-right of a table.,golden chalice,upper-right,table
A white cloud floats diagonally to the upper left of a mountain peak.,white cloud,upper-left,mountain peak
The silver anchor is placed just below a rope.,silver anchor,below,rope
A black spider hangs to the left of a glowing web.,black spider,left,glowing web
The red kite is soaring at the top of a tree.,red kite,above,tree
A small turtle moves to the right of a seashell.,small turtle,right,seashell
The yellow balloon drifts diagonally at the upper right of a playground.,yellow balloon,upper-right,playground
A wooden flute rests below a violin.,wooden flute,below,violin
The striped tiger prowls at the bottom-left of a bush.,striped tiger,lower-left,bush
A glowing fireball appears above a dark cave.,glowing fireball,above,dark cave
The purple flower blooms at the lower right of a stone path.,purple flower,lower-right,stone path
A silver spoon is laid to the left of a fork.,silver spoon,left,fork
A green bottle stands at the top-left of a glass.,green bottle,upper-left,glass
The white candle shines just above a book.,white candle,above,book
A golden bird cage is placed diagonally to the lower left of a stool.,golden bird cage,lower-left,stool
A red glove lies on the right side of a jacket.,red glove,right,jacket
The glowing pearl sits below a shell.,glowing pearl,below,shell
A brown basket is positioned diagonally at the top-right of a loaf of bread.,brown basket,upper-right,loaf of bread
The black cat rests to the left of a window.,black cat,left,window
A silver star sparkles on the upper right of a hill.,silver star,upper-right,hill
The green pear is placed below a banana.,green pear,below,banana
A blue lantern hangs diagonally at the bottom-right of a wall.,blue lantern,lower-right,wall
The golden trumpet is leaning on the left of a drum.,golden trumpet,left,drum
A striped candy cane is shown at the top of a stocking.,striped candy cane,above,stocking
The white goose walks diagonally at the lower left of a pond.,white goose,lower-left,pond
"In the center is an astronaut, and a horse appears directly below carrying it.",horse,below,astronaut
"A giant ice cream cone lies in the middle, while a wooden chair floats above it.",wooden chair,above,giant ice cream cone
"At the center rests a book, with a sailing ship to its right.",sailing ship,right,book
"A golden sun lies in the center, and a coffee cup sits bottom-left of it.",coffee cup,lower-left,golden sun
"The middle shows a watermelon, while a cat balances on top.",cat,above,watermelon
"At the heart of the image is a skyscraper, and a spoon floats above-right.",spoon,upper-right,skyscraper
"A dragon is placed centrally, with a silver laptop below it.",silver laptop,below,dragon
"In the middle lies a fish, while a red bicycle is top-right.",red bicycle,upper-right,fish
"The center displays a green cube, with the word 'LOVE' glowing in the bottom-right.",word LOVE,lower-right,green cube
"In the middle is a flying pig, while a golden castle hovers above it.",golden castle,above,flying pig
"A large teapot is at the center, with a tiny house to its left.",tiny house,left,large teapot
"At the center floats a cloud, while a red car rests beneath it.",red car,below,cloud
"Placed centrally is a smartphone, while a waterfall pours from its top-right.",waterfall,upper-right,smartphone
"A penguin stands in the middle, with a surfboard placed bottom-left.",surfboard,lower-left,penguin
"In the center is a sandwich, while a tiny human figure lies above it.",tiny human figure,above,sandwich
"A volcano is central, with an umbrella balanced at its peak.",umbrella,above,volcano
"The middle shows a violin, while a pair of shoes floats top-right.",pair of shoes,upper-right,violin
"Central placement of a pizza slice, with a rocket bottom-left.",rocket,lower-left,pizza slice
"At the center is a robot, and a medieval knight stands diagonally upper-right.",medieval knight,upper-right,robot
"A cactus in the middle, while a computer monitor rests above it.",computer monitor,above,cactus
"The central subject is a snail, with a skyscraper to its bottom-left.",skyscraper,lower-left,snail
"In the middle sits a mirror, while a shadow of a tiger appears right beside it.",shadow of tiger,right,mirror
"Placed centrally is a hamburger, while a crown floats top-left.",crown,upper-left,hamburger
"A jellyfish hovers in the center, with a lamp positioned bottom-right.",lamp,lower-right,jellyfish
"At the center is a unicorn, while a toaster is set above it.",toaster,above,unicorn
"The middle contains a dice, with a giant hand holding it from below.",giant hand,below,dice
"A pumpkin sits in the center, while a glowing star is placed top-right.",glowing star,upper-right,pumpkin
"In the center is a violin bow, while a shark fin emerges bottom-left.",shark fin,lower-left,violin bow
