caption,object_color
A red chair with golden armrests stands on a polished wooden floor.,"{""chair"": ""red"", ""armrests"": ""golden""}"
A yellow apple with a green stem rests inside a glass bowl on a marble table.,"{""apple"": ""yellow"", ""stem"": ""green""}"
A green banana with tiny purple spots lies on a white ceramic plate.,"{""banana"": ""green"", ""spots"": ""purple"", ""plate"": ""white""}"
A white cat with blue eyes and a red collar is sitting near an open window.,"{""cat"": ""white"", ""eyes"": ""blue"", ""collar"": ""red""}"
A blue bicycle with yellow wheels leans against a brick wall covered in ivy.,"{""bicycle"": ""blue"", ""wheels"": ""yellow""}"
A golden teapot with a black handle is placed on a rustic wooden shelf.,"{""teapot"": ""golden"", ""handle"": ""black""}"
A black dog with white paws runs across a grassy field under bright sunlight.,"{""dog"": ""black"", ""paws"": ""white""}"
A silver spoon with a red handle lies next to a steaming cup of coffee.,"{""spoon"": ""silver"", ""handle"": ""red""}"
A pink flamingo with orange legs stands in shallow water reflecting the sky.,"{""flamingo"": ""pink"", ""legs"": ""orange""}"
A purple backpack with green zippers is left on a sandy beach beside seashells.,"{""backpack"": ""purple"", ""zippers"": ""green""}"
A brown teddy bear with a blue ribbon sits on a child’s bed with striped sheets.,"{""teddy bear"": ""brown"", ""ribbon"": ""blue""}"
A turquoise car with white stripes speeds down a rainy street at night.,"{""car"": ""turquoise"", ""stripes"": ""white""}"
A red rose with yellow-tipped petals rests in a glass vase filled with clear water.,"{""rose"": ""red"", ""petals"": ""yellow""}"
A black-and-white piano with golden keys shines under stage lights.,"{""piano"": ""black-and-white"", ""keys"": ""golden""}"
A green pumpkin with orange freckles sits on dry hay in a barn.,"{""pumpkin"": ""green"", ""freckles"": ""orange""}"
A red kite with a blue tail soars high above a grassy park.,"{""kite"": ""red"", ""tail"": ""blue""}"
A silver laptop with a golden logo glows in a dark office room.,"{""laptop"": ""silver"", ""logo"": ""golden""}"
A yellow hat with a purple band lies forgotten on a stone bench.,"{""hat"": ""yellow"", ""band"": ""purple""}"
A blue fish with red fins swims through clear turquoise water.,"{""fish"": ""blue"", ""fins"": ""red"", ""water"": ""turquoise""}"
A green frog with bright orange eyes rests on a mossy rock.,"{""frog"": ""green"", ""eyes"": ""orange""}"
A black bird with a yellow beak perches on a snow-covered branch.,"{""bird"": ""black"", ""beak"": ""yellow""}"
A red umbrella dotted with white spots leans against a rainy café wall.,"{""umbrella"": ""red"", ""spots"": ""white""}"
A golden crown decorated with blue jewels rests on a velvet pillow.,"{""crown"": ""golden"", ""jewels"": ""blue""}"
A purple shoe with pink soles is left on a dusty wooden floor.,"{""shoe"": ""purple"", ""soles"": ""pink""}"
A white rabbit with a blue bowtie hops through a garden of daisies.,"{""rabbit"": ""white"", ""bowtie"": ""blue""}"
A silver ring with a green gemstone glitters under a ray of sunlight.,"{""ring"": ""silver"", ""gemstone"": ""green""}"
A turquoise butterfly with yellow-edged wings lands on a red flower.,"{""butterfly"": ""turquoise"", ""wings"": ""red""}"
A brown horse with a white mane stands near a wooden fence.,"{""horse"": ""brown"", ""mane"": ""white""}"
A red strawberry with tiny green seeds rests on a plate of cream.,"{""strawberry"": ""red"", ""seeds"": ""green""}"
A green pear with a golden leaf rolls across a marble countertop.,"{""pear"": ""green"", ""leaf"": ""golden""}"
A black mug with a golden handle is placed on a small round table.,"{""mug"": ""black"", ""handle"": ""golden""}"
A silver watch with a blue strap ticks quietly on a leather desk pad.,"{""watch"": ""silver"", ""strap"": ""blue""}"
A pink cupcake with blue frosting sparkles under the café lights.,"{""cupcake"": ""pink"", ""frosting"": ""blue""}"
A purple flower with orange veins blooms beside a garden fountain.,"{""flower"": ""purple"", ""veins"": ""orange""}"
A yellow door with a silver handle stands between brick walls.,"{""door"": ""yellow"", ""handle"": ""silver""}"
A turquoise vase filled with red roses sits on a glass shelf.,"{""vase"": ""turquoise"", ""roses"": ""red""}"
A golden violin with black strings lies inside a velvet-lined case.,"{""violin"": ""golden"", ""strings"": ""black""}"
A white candle with a red flame flickers in a dark cathedral.,"{""candle"": ""white"", ""flame"": ""red""}"
A brown shoe with green laces rests on a stone pathway.,"{""shoe"": ""brown"", ""laces"": ""green""}"
A black cat with green eyes curls up on a patterned rug.,"{""cat"": ""black"", ""eyes"": ""green""}"
A red bench with white cushions stands in a quiet city park.,"{""bench"": ""red"", ""cushions"": ""white""}"
A green lizard with blue tail crawls across a dry desert rock.,"{""lizard"": ""green"", ""tail"": ""blue""}"
A purple pen with a silver clip rests on a notebook full of sketches.,"{""pen"": ""purple"", ""clip"": ""silver""}"
A turquoise scarf with golden threads hangs on a wooden hanger.,"{""scarf"": ""turquoise"", ""threads"": ""golden""}"
A white guitar with red strings leans against a brick wall.,"{""guitar"": ""white"", ""strings"": ""red""}"
A silver car with tinted purple windows is parked under neon lights.,"{""car"": ""silver"", ""windows"": ""purple""}"
A golden spoon with a blue handle rests beside a porcelain teacup.,"{""spoon"": ""golden"", ""handle"": ""blue""}"
A brown dog with a turquoise collar chases a red ball.,"{""dog"": ""brown"", ""collar"": ""turquoise""}"
A yellow bicycle with black tires stands on a sandy beach.,"{""bicycle"": ""yellow"", ""tires"": ""black""}"
A red box tied with a silver ribbon sits under a Christmas tree.,"{""box"": ""red"", ""ribbon"": ""silver""}"
A green clock with golden hands hangs on a rustic wall.,"{""clock"": ""green"", ""hands"": ""golden""}"
A purple hat with a red feather is displayed in a glass cabinet.,"{""hat"": ""purple"", ""feather"": ""red""}"
A blue basket filled with yellow fruit rests on a picnic blanket.,"{""basket"": ""blue"", ""fruit"": ""yellow""}"
A golden bell tied with a red ribbon hangs above a wooden door.,"{""bell"": ""golden"", ""ribbon"": ""red""}"
A black phone with red buttons lies on a cracked table surface.,"{""phone"": ""black"", ""buttons"": ""red""}"
A turquoise sofa with pink pillows faces a wide glass window.,"{""sofa"": ""turquoise"", ""pillows"": ""pink""}"
A silver lamp with a golden shade stands in a modern living room.,"{""lamp"": ""silver"", ""shade"": ""golden""}"
A red pillow with white stripes is placed on a brown couch.,"{""pillow"": ""red"", ""stripes"": ""white""}"
A white swan with golden beak swims across a calm lake.,"{""swan"": ""white"", ""beak"": ""golden""}"
A purple cupcake with yellow sprinkles is displayed in a bakery case.,"{""cupcake"": ""purple"", ""sprinkles"": ""yellow""}"
A golden apple with a green stem sits on a crystal pedestal.,"{""apple"": ""golden"", ""stem"": ""green""}"
A black candle with a silver flame burns in a dark room.,"{""candle"": ""black"", ""flame"": ""silver""}"
A green dragon with turquoise wings flies above snowy mountains.,"{""dragon"": ""green"", ""wings"": ""turquoise""}"
A red butterfly with orange wings rests on a wooden branch.,"{""butterfly"": ""red"", ""wings"": ""orange""}"
A turquoise balloon with white stars floats above a garden party.,"{""balloon"": ""turquoise"", ""stars"": ""white""}"
A brown bear with yellow nose plays with a red ball in the forest.,"{""bear"": ""brown"", ""nose"": ""yellow""}"
A white fox with a blue tail runs across the snowy field.,"{""fox"": ""white"", ""tail"": ""blue""}"
A golden key tied with a red ribbon hangs on a stone wall.,"{""key"": ""golden"", ""ribbon"": ""red""}"
A pink rose with purple petals rests on a silver plate.,"{""rose"": ""pink"", ""petals"": ""purple""}"
A blue teddy bear with a red bow sits on a small chair.,"{""teddy bear"": ""blue"", ""bow"": ""red""}"
A green table with red legs stands under a hanging lantern.,"{""table"": ""green"", ""legs"": ""red""}"
A golden butterfly with turquoise wings flies above a sunflower.,"{""butterfly"": ""golden"", ""wings"": ""turquoise""}"
A purple door with a silver knob leads to a hidden garden.,"{""door"": ""purple"", ""knob"": ""silver""}"
A yellow clock with black hands sits on a wooden mantel.,"{""clock"": ""yellow"", ""hands"": ""black""}"
A red car with golden rims speeds along a coastal road.,"{""car"": ""red"", ""rims"": ""golden""}"
A turquoise cat with orange tail plays with a yarn ball.,"{""cat"": ""turquoise"", ""tail"": ""orange""}"
