caption,number,object
"The fishing boat returned with six silver fish in its net, their scales glistening under the morning sun.",6,silver fish
"Four small pumpkins placed on a wooden porch, their surfaces rough and slightly cracked.",4,small pumpkin
A chalkboard covered with drawings of five stars and a smiling moon in colorful chalk.,5,star
"Three rabbits hopping near a patch of carrots, the soil freshly tilled.",3,rabbit
"A toy box overflowing with seven colorful blocks, edges worn from play.",7,colorful block
"Six glass bottles filled with glowing liquid, lined up in a laboratory with steel counters.",6,glass bottle
"On the piano rest four sheets of music, slightly curled at the edges, under a soft desk lamp.",4,sheet
"Five tall sunflowers blooming in a garden, petals catching the morning light.",5,tall sunflower
"A quiet cobblestone street lined with seven lampposts, glowing faintly at dusk.",7,lamppost
"Three ice cream cones, one chocolate, one vanilla, and one strawberry, melting slightly in the summer heat.",3,ice cream cone
"The beachside café serves five tall glasses of lemonade, condensation dripping down the glass.",5,tall glasse of lemonade
Six little ducks swimming in a neat line across a shimmering pond.,6,little duck
"A market stall stacked with four pineapples, their spiky crowns pointing upward.",4,pineapple
"On the wall hang three framed photographs of mountains, each with rustic wooden frames.",3,framed photograph of mountains
Seven red roses wrapped in delicate white paper tied with string.,7,red rose
"Five cookies fresh from the oven, still steaming on a metal baking tray.",5,cookie
In the meadow are four brown cows grazing lazily among tall grass.,4,brown cow
"Three toy trains lined up on wooden tracks, painted in bright colors.",3,toy train
"Six crystal ornaments glowing under soft golden light, arranged on a glass shelf.",6,crystal ornament
"Two backpacks leaning against a school bench, one new and one faded.",2,backpack
"A cardboard box full of five comic books, their covers bright and glossy.",5,comic books
"Four dragonflies hovering over a lily pond, wings iridescent under sunlight.",4,dragonfly
Three laptops placed neatly on a conference table with sleek modern chairs.,3,laptop
Six colorful scarves draped across a clothing rack in a boutique.,6,colorful scarve
"A carnival ride with seven spinning swings, painted in vibrant hues.",7,spinning swing
"A woven basket of five fresh baguettes wrapped in white paper, golden crusts exposed.",5,fresh baguette
Four violas arranged in an orchestra rehearsal space with music stands.,4,viola
"Three parrots squawking loudly on a jungle branch, feathers vivid and multicolored.",3,parrot
"On a city street, six yellow taxis lined up at the curb under neon lights.",6,yellow taxi
A notebook open beside five pens scattered across a wooden desk.,5,pen
The mountain sky filled with four eagles circling high above rocky cliffs.,4,eagle
A sunny field with seven daffodils blooming brightly in the spring breeze.,7,daffodil
"Five ceramic mugs with hand-painted animal patterns, resting on a wooden shelf.",5,ceramic mug
"A tiny pond rippling with three koi fish, scales shimmering in orange and white.",3,koi fish
"Six paper cranes hanging from strings near a sunlit window, shadows dancing on the wall.",6,paper crane
"A fruit basket with four ripe pears, their green skin speckled with golden freckles.",4,ripe pear
"The dinner table set with seven plates, silverware polished to a shine.",7,plate
Five toy cars parked in a perfect row on a carpeted floor.,5,toy car
"In the forest stand three tall pine trees, snow dusting their branches.",3,pine tree
A festival stage decorated with six golden lanterns glowing against the night sky.,6,golden lantern
"Four ice cubes floating in a glass of cola, fizzing bubbles rising.",4,ice cube
A meadow dotted with five white sheep grazing peacefully under scattered clouds.,5,white sheep
Seven little stars painted in glow-in-the-dark paint on a child’s bedroom ceiling.,7,little star
"Three violins leaning against wooden chairs, polished surfaces reflecting candlelight.",3,violin
"Six oranges shining under the market stall lights, stacked in a pyramid.",6,orange
"A garden path lined with four stone statues, moss covering their bases.",4,stone statue
"Five butterflies dancing in the sunlight, wings patterned with vivid colors.",5,butterfly
"A market table filled with seven jars of honey, golden and translucent.",7,jars of honey
"Three owls carved into a wooden sculpture, details etched with fine precision.",3,owl
"Six colorful balloons tied to a park bench, swaying gently in the breeze.",6,colorful balloon
"On an old oak table lie five apples, their skins shiny and slightly speckled, with soft afternoon light streaming through a window.",5,apple
"A vast green meadow where three brown horses gallop, their glossy coats catching the golden sunset.",3,brown horse
"A bakery display filled with six frosted cupcakes, each topped with fruit slices and glittering sugar crystals under warm lights.",6,frosted cupcake
"The desert night sky dotted with seven bright stars, glowing over sand dunes in complete silence.",7, bright star
"Two striped umbrellas casting colorful shadows on pale, sun-bleached sand.",2,umbrella
"A rustic wooden kitchen shelf holding four ceramic teapots, each hand-painted with floral patterns.",4,ceramic teapot
"Three glowing candles flickering inside an ancient stone church, illuminating rough textures of the walls.",3,candle
"A playground where five children fly vibrant kites, their ribbons fluttering in the windy blue sky.",5,children
"Scattered across a grassy field are four worn soccer balls, their surfaces scratched from heavy use.",4,worn soccer ball
"A still lake where six white swans glide gracefully, their reflections shimmering in the water.",6,white swan
"A picnic blanket patterned with red checks, covered with five sandwiches wrapped in parchment paper.",5,sandwich
"Perched on a rusty wire are nine tiny sparrows, their feathers ruffled in the morning breeze.",9,tiny sparrow
Four violins resting neatly on velvet inside an old mahogany case.,4,violin
"A snowy yard with three cheerful snowmen, each wearing mismatched scarves and carrot noses.",3,snowman
"A quiet forest path covered with six fallen maple leaves, glowing orange in autumn light.",6,maple leaf
